"info_seq","category","title","start_date","end_date","place","price","content","homepage","thumbnail","tel","tag"
"26","museum","유리지공예관","","","유리지공예관","5000원","","http://yoolizzycraftmuseum.org","http://yoolizzycraftmuseum.asadal.com/wp/wp-content/uploads/2012/06/intro.jpg","02-578-6663","교육, 미술"
"15","museum","환기미술관 ","","","환기미술관 ","","","http://whankimuseum.org/","https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/%ED%99%98%EA%B8%B0%EB%AF%B8%EC%88%A0%EA%B4%80_%EC%99%B8%EB%B6%80.jpg/435px-%ED%99%98%EA%B8%B0%EB%AF%B8%EC%88%A0%EA%B4%80_%EC%99%B8%EB%B6%80.jpg","02-391-7701","교육"
"14","museum","서울우리소리박물관","","","서울우리소리박물관","","","gomuseum.seoul.go.kr/sekm","https://upload.wikimedia.org/wikipedia/commons/thumb/8/80/Seoul_Museum_of_Korean_Folk_Music.jpg/435px-Seoul_Museum_of_Korean_Folk_Music.jpg","02-742-2600","교육, 소리"
"13","museum","소마미술관","","","소마미술관","성인 3000원, 학생 2000원","","www.soma.kspo.or.kr","https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/Somaartmuseum_main.jpg/435px-Somaartmuseum_main.jpg","02-425-1077","교육, 미술"
"12","museum","안중근의사기념관","","","안중근의사기념관","","","http://www.ahnjunggeun.or.kr","https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/%EC%95%88%EC%A4%91%EA%B7%BC%EC%9D%98%EC%82%AC%EA%B8%B0%EB%85%90%EA%B4%80_%EC%82%AC%EC%A7%84.jpg/435px-%EC%95%88%EC%A4%91%EA%B7%BC%EC%9D%98%EC%82%AC%EA%B8%B0%EB%85%90%EA%B4%80_%EC%82%AC%EC%A7%84.jpg","02-3789-1026","교육, 인물, 역사"
"11","museum","세계장신구박물관","","","세계장신구박물관","성인 7000원, 청소년 5000원, 어린이 5000원","","www.wjmuseum.com","https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/World_Jewellery_Museum.jpg/375px-World_Jewellery_Museum.jpg","02-730-1610","교육"
"55","exhibition","미술관 옆 공연장 - 그림에 음악과 향기를 더하다","2023-10-26","2023-10-26","세종체임버홀","전석 30,000원","","https://www.sejongpac.or.kr/portal/performance/performance/view.do?performIdx=34532&menuNo=200004","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=dfac678621ce42bfb5b89299237b810f&thumb=Y","","미술, 음악"
"54","exhibition","[서울디자인재단] 서울디자인 2023","2023-10-24","2023-11-02","DDP(동대문디자인플라자) 전관 및 서울시 일대","① 전시 입장권 : 12,000원(얼리버드 할인가 6,000원)  ② 컨퍼런스 입장권(전시 입장권 1매 + 행사 굿즈 증정) : 70,000원(얼리버드 할인가 40,000원)                                                                ※ 얼리버드 할인기간 : 9.5.(화)~10.16(월) ","서울 대표 디자인 축제","https://seoul-design.or.kr/seouldesign/opening.asp","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=eeeb6af153474d7caaa764f441de0bf0&thumb=Y","","미술"
"53","exhibition","[시민청] 집에 깃든 우리들의 시간","2023-10-07","2023-10-13","서울시청 지하 1층 시민청갤러리","","","https://www.seoulcitizenshall.kr/?r=sch&m=program2&cate=&ing=active&sort=uid&mod=view&p=1&uid=2701","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=529fb99aab5949cea05ab8cf0652fa5a&thumb=Y","","미술"
"52","exhibition","[시민청 공간공모 지원사업] what 多 - got 多","2023-09-26","2023-10-04","서울시청 시민청갤러리(지하 1층)","","","https://www.seoulcitizenshall.kr/?r=sch&m=program2&cate=&ing=active&sort=uid&mod=view&p=1&uid=2693","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=51a7930d36db4002b79cf8cec8ff5a74&thumb=Y","","미술"
"51","exhibition","한성백제박물관 2023년 백제문화특별전 [강철백제]","2023-09-22","2023-12-17","한성백제박물관 기획전시실","무료","","https://baekjemuseum.seoul.go.kr/module/index.jsp?mpid=SBM0203000000","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=2b0c75a79f37494db57a7196d1170d57&thumb=Y","","교육, 미술"
"40","exhibition","서울로미디어캔버스 2023 3회 전시","2023-09-21","2023-12-19","서울로미디어캔버스 서울시 중구 만리재로 215","","","https://news.seoul.go.kr/culture/archives/520943","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=6699811e7305476c885fa9e3abb3b792&thumb=Y","","미술"
"39","exhibition","[한성백제박물관] 강鐵철 백제 - 철, 강한 나라를 만들다","2023-09-21","2023-12-17","한성백제박물관 기획전시실","","","https://baekjemuseum.seoul.go.kr/module/index.jsp?boardid=a&code=DP&mmode=content&mpid=SBM0203000000&pid=21625&strsearch=&d_s_que=&cpage=1","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=678661b4dd43404dbdc6e0097c4b9f3b&thumb=Y","","교육, 미술"
"38","exhibition","제12회 서울미디어시티비엔날레 [이것 역시 지도]","2023-09-21","2023-11-19","서울시립미술관 서소문본관, 서울역사박물관, SeMA 벙커, 스페이스mm, 소공스페이스, 서울로미디어캔버스","","","https://sema.seoul.go.kr/kr/whatson/series/detail?exNo=1199259","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=4f17f7ce8ac64ed58264f88e6f9e5e55&thumb=Y","","미술"
"37","exhibition","제10회 종근당예술지상","2023-09-21","2023-10-02","세종미술관 1관","무료","","https://www.sejongpac.or.kr/portal/performance/performance/view.do?performIdx=34475&menuNo=200004","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=e41d68b2399747d49cc81ea143c6b02a&thumb=Y","","미술"
"36","exhibition","코리아나미술관 20주년 기념 국제기획전 [Step x Step]","2023-09-14","2023-11-30","코리아나미술관","성인 4,000 원 학생 3,000 원 미술관 박물관 통합권 일반 6,000 원 학생 5,000 원","코리아나미술관 20주년 기념 국제기획전","http://www.spacec.co.kr/gallery/gallery2","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=26cd4b08d01f45daacebffb1f32f7d31&thumb=Y","","미술"
"25","exhibition","수신자들 Receivers","2023-09-13","2023-10-21","서울시 종로구 종로33길 15 두산아트센터 1층","","","https://www.doosanartcenter.com/ko/exhibit/1556","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=2040d233fa274247a335ca87d9cb9da4&thumb=Y","","미술"
"24","exhibition","[일러스트 전시회] 일상의 조각 : 무운과 소금이의 작품전","2023-09-13","2023-10-08","구캔갤러리","성인 7,000원(음료포함) 학생 5,000원(음료포함) 평일 오전10시-오후3시까지 일괄 5,000원(음료포함)","","http://www.goocan.co.kr/23/?q=YToxOntzOjEyOiJrZXl3b3JkX3R5cGUiO3M6MzoiYWxsIjt9&bmode=view&idx=16176668&t=board","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=36d63474b71543a781103e2a7f10a418&thumb=Y","","미술"
"23","exhibition","[언폴드엑스 기획자캠프] 유 세미나에서 지구까지","2023-09-11","2023-10-05","문래예술공장 2-3층","","","https://www.sfac.or.kr/artspace/artspace/mullae_notice.do?cbIdx=979&bcIdx=134671&type=","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=3eadbb121834484680e7ef2d88ed4ca9&thumb=Y","","미술"
"22","exhibition","[서울은 미술관] 대학협력 공공미술 프로젝트","2023-09-10","2023-10-21","청수교 앞 나무데크 광장, 한, 평 앞 골목, 정릉 마을 마당, 홍대 앞 레드로드, 프로타주 갤러리 등","","","https://news.seoul.go.kr/culture/archives/520928","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=dc95f0d45ef24130b2cba3a1341d9dae&thumb=Y","","미술"
"21","exhibition","[서울공예박물관] 서울아트위크 기념 특별전 《공예 다이얼로그》","2023-09-08","2023-11-12","서울공예박물관 전시1동 3층 기획전시실","무료","","https://craftmuseum.seoul.go.kr/exhibit/plan/view/109","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=0736cc75a7f34744a97a2f6ceaef6a7f&thumb=Y","","미술"
"10","exhibition","시?적?해?상?도(LUX: Poetic Resolution)","2023-09-05","2023-12-31","DDP 뮤지엄 전시2관(2층)","일반(만 24세 이상~만 65세 미만) 20,000원 청년(만 18세 이상~만 24세 미만) 15,000원 청소년(만12세이상 만18세미만) 10,000원 *9월 10일까지 얼리버드 50% 할인","","https://ddp.or.kr/index.html?menuno=239&siteno=2&bbsno=489&boardno=15&bbstopno=489&act=view&subno=","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=faa42587cf684cf1beaecf7291f93412&thumb=Y","","미술"
"9","exhibition","[서울책보고] 본격 요리책 전시 '내일 뭐 먹지?'","2023-09-05","2023-11-26","서울책보고","","","https://seoulbookbogo.kr/front/index.php?g_page=event&m_page=event01&act=View&D_IDX=3925&ViewType=List","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=9759f08ba63d47aeb21c0576cf7f9056&thumb=Y","","미술, 음식"
"8","exhibition","제4회 서울도시건축비엔날레 ","2023-09-01","2023-10-29","열린송현녹지광장","무료","","http://2023.seoulbiennale.org/","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=dfda0b7713924b3e9c4620a960ee4629&thumb=Y","","미술, 건축"
"7","exhibition","2023 엔젤아티스트 특별자선전 [Art for All]","2023-09-01","2023-10-21","호리아트스페이스, 아이프라운지, 갤러리 미르","","","https://horiartspace.com/Current","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=3b4141728cec4adc8dd546803990bbed&thumb=Y","","미술"
"6","exhibition","2023 한강조각프로젝트:한강을 걷다 Hangang, Playground in my mind","2023-09-01","2023-10-15","뚝섬한강공원","","","http://hangangsculpture2023.kr/","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=844e8c9dec73428a95998cfb59e49b64&thumb=Y","","미술"
"50","show","[M클래식 축제] 마포공연예술관광페스티벌 [타케자와 유토 피아노 리사이틀]","2023-12-07","2023-12-07","마포아트센터 아트홀 맥","R석 50,000원 / S석 30,000 / A석 20,000원","","https://www.mfac.or.kr/performance/whole_view.jsp?sc_b_category=17&sc_b_code=BOARD_1207683401&pk_seq=2219&page=1","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=98b236d199594782b856d8529279f60f&thumb=Y","","클래식, 리사이틀"
"49","show","[M클래식 축제] 마포공연예술관광페스티벌 킷 암스트롱 피아노 리사이틀","2023-12-06","2023-12-06","마포아트센터 아트홀맥","R석 50,000원 / S석 30,000 / A석 20,000원","","https://www.mfac.or.kr/performance/whole_view.jsp?sc_b_category=17&sc_b_code=BOARD_1207683401&pk_seq=2218&page=1","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=a746bbf37f4d439aa5a2711e6fbd6e54&thumb=Y","","클래식, 리사이틀"
"48","show"," M 아티스트 2023 김도현 피아노 리사이틀 II","2023-12-05","2023-12-05","마포아트센터 아트홀맥"," VIP석 55,000원, R석 44,000원, S석 33,000원","","https://www.mfac.or.kr/performance/whole_view.jsp?sc_b_category=17&sc_b_code=BOARD_1207683401&pk_seq=2176&page=1","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=6a59720cd9c34bbfa056eb6b5031f809&thumb=Y","","클래식, 리사이틀"
"47","show","선우예권&국립슬로박필하모닉오케스트라","2023-12-02","2023-12-02","강동아트센터 대극장 한강","R석 100,000원 S석 70,000원 A석 50,000원","","http://www.gdfac.or.kr/web/lay2/program/S1T204C211/show/view.do?show_seq=1968&cpage=1&rows=999&keyword=&place=&start_dt=&end_dt=","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=7073489c754345da815a4e636546e3e5&thumb=Y","","클래식, 오케스트라"
"46","show","브런치콘서트 [이달의 공연] 11월 클래식과 재즈의 더 배틀","2023-11-28","2023-11-28","구로아트밸리 예술극장","전석 10,000원 / 단체10인 이상 할인 20% (전화예매필수)","","https://www.guroartsvalley.or.kr/user/performance/performanceView.do?performanceSeq=3673&page=1","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=78c250f20537440cbbdf2f085f20a1c7&thumb=Y","","클래식, 재즈"
"35","show","이고르 레비트, 피아노 리사이틀","2023-11-22","2023-11-22","강동아트센터 대극장 한강","R석 90,000원 S석 70,000원 A석 50,000원","","http://www.gdfac.or.kr/web/lay2/program/S1T204C211/show/view.do?show_seq=1975&cpage=1&rows=999&keyword=&place=&start_dt=&end_dt=","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=5e038a40312b4c4490f7e12d75838c61&thumb=Y","","클래식, 리사이틀"
"34","show","M 한국가곡 시리즈 [모던가곡] #6. 첫사랑","2023-11-07","2023-11-07","마포아트센터 플레이 맥","전석 20,000원","프로그램 추후 공개 예정 ","https://www.mfac.or.kr/performance/whole_view.jsp?sc_b_category=17&sc_b_code=BOARD_1207683401&pk_seq=2233&page=1","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=f94b53c1467444368f03a65bb6c986ce&thumb=Y","","가곡"
"33","show","엘리자베스 기덕","2023-11-02","2023-11-05","세종M씨어터","R석 50,000원  / S석 30,000원","<html><head></head><body spellcheck=","https://www.sejongpac.or.kr/portal/performance/performance/view.do?performIdx=33858&menuNo=200004","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=bbb51a41852d4526b56ac6004d0cc983&thumb=Y","","무용"
"32","show","브런치콘서트 [이달의 공연] 10월 웃음 가득 뮤지컬 갈라","2023-10-31","2023-10-31","구로아트밸리 예술극장","전석 10,000원 / 단체10인 이상 할인 20% (전화예매필수)","","https://www.guroartsvalley.or.kr/user/performance/performanceView.do?performanceSeq=3672&page=1","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=44c90392a4ae434885a563f190ac09c4&thumb=Y","","뮤지컬"
"31","show","남산골가무악국악한마당","2023-10-30","2023-10-30","충무아트센터 대극장 ","무료","사물놀이,창극,판소리,민요,장단","http://namsangolgukak.or.kr/","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=6a4995269e514a6e992ca87ab12bb6d5&thumb=Y","","국악"
"20","show","[성북문화재단] 성북국악페스티벌 풍류마치 2023","2023-10-28","2023-10-29","서울성북미디어문화마루 꿈빛극장","전석 30,000원","","https://www.sbculture.or.kr/culture/bbs/BMSR00005/view.do?boardId=23633&menuNo=500144","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=46a675b659a840ecbc29ee37da647e32&thumb=Y","","국악"
"19","show","[서울시향] 2023 서울시향 실내악 시리즈 III : 영감","2023-10-28","2023-10-28","세종문화회관 체임버홀","R 50,000원 S 30,000원 A 10,000원","","https://www.seoulphil.or.kr/perf/view?perfNo=5300&calendarDate=2023/10/28&langCd=ko&menuFlag=MFLG0001","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=19a985e3168f42b484199cf16c99c825&thumb=Y","","클래식"
"18","show","푸치니 [투란도트]","2023-10-26","2023-10-29","세종대극장","VIP석 150,000원 R석 120,000원 S석 100,000원 A석 80,000원 B석 50,000원","<html><head></head><body spellcheck=","https://www.sejongpac.or.kr/portal/performance/performance/view.do?performIdx=33853&menuNo=200004","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=bc2be4d262b2474f92fa1a343be472aa&thumb=Y","","오페라"
"17","show","[서울시향] 2023 서울시향 김선욱의 모차르트와 슈트라우스","2023-10-26","2023-10-26","롯데콘서트홀","R 100,000원 S 80,000원 A 50,000원 B 30,000원 C 10,000원","","https://www.seoulphil.or.kr/perf/view?perfNo=5259&calendarDate=2023/10/26&langCd=ko&menuFlag=MFLG0001","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=389d3f0b9e7c47ba9d4d47ed00207e24&thumb=Y","","클래식"
"16","show","[서울시향] 2023 서울시향 우리동네 음악회(관현악)","2023-10-25","2023-10-25","양천문화회관 대극장","무료","","https://www.seoulphil.or.kr/perf/view?perfNo=5769&calendarDate=2023/10/25&langCd=ko&menuFlag=MFLG0001","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=6c5e42d531914924b2683647d9a50e89&thumb=Y","","클래식"
"5","show","춤의 정원(庭園) : 여섯 빛깔 춤선이 모이다-궁중춤예술연구원","2023-10-24","2023-10-24","서울돈화문국악당","전석 20,000원","","https://sdtt.or.kr/user/program/2023/10/1402","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=311ff08357004516ba29ae676d116a05&thumb=Y","","국악"
"4","show","시그널 : 오르간과 함께 하는 합창음악","2023-10-24","2023-10-24","롯데콘서트홀","R석 50,000원 S석 40,000원 A석 30,000원","","https://www.sejongpac.or.kr/portal/performance/performance/view.do?performIdx=33876&menuNo=200004","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=2ef10f9e43e246cc94e9146c8767df5c&thumb=Y","","클래식"
"3","show","[2023 한강노들섬 클래식] 오페라 세비야의 이발사","2023-10-21","2023-10-22","한강 노들섬 잔디마당","","","https://www.sfac.or.kr/artsfestivalseoul/contents/subpage3.html","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=62b8c1f3a0394b179efdce35d09fe86b&thumb=Y","","오페라"
"2","show","[세종문화회관] 대한민국국악관현악축제_서울시국악관현악단","2023-10-21","2023-10-21","세종M씨어터","무료","","https://www.sejongpac.or.kr/portal/performance/performance/view.do?performIdx=34468&menuNo=200004","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=f30d04424da4460aaac52b175ec6f377&thumb=Y","","국악"
"1","show","[강동문화재단] 2023 서울오페라페스티벌 세비야의 이발사","2023-10-20","2023-10-21","강동아트센터 대극장 한강 ","R석 70,000원 S석 50,000원 A석 30,000원 ","","https://www.gdfac.or.kr/web/lay2/program/S1T204C211/show/view.do?show_seq=1994&cpage=1&rows=999&keyword=&place=&start_dt=&end_dt=","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ab0a0e26a6394de2abad46783eef32bc&thumb=Y","","오페라"
